# Constructed from biom file
#OTU ID	MagNA_Pure_Pathogen_200	MagNA_Pure_Pathogen_500	Qiagen_DNA_Stool	Qiagen_Power_Fecal	Qiagen_Soil	Conventional_Isolation
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	0.00130083674997	0.000693842783245	0.000210930009588	9.25416315577e-05	0.0	0.00035490044545
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	1.74219207585e-05	6.19719473652e-05	0.0	0.000102282855932	6.24765712858e-05	0.00220182005331
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98;f__	0.000223166508763	1.09362260056e-05	0.0	2.43530609362e-05	6.72824613847e-05	1.99009595579e-05
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	0.0125993671695	0.0105826213648	0.0017929050815	0.00170471426554	0.00312382856429	0.00853861725922
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae	2.7377304049e-05	0.0	0.0	0.0	0.0	3.59322880907e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__	0.0	0.0	0.0	0.0	0.0	3.31682659299e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__	0.00307123574514	0.0040318219874	0.000910834132311	0.000170471426554	0.00184546179798	0.00127974226046
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae	0.000282069193232	0.0	0.0	0.0	4.32530108901e-05	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	6.71988372112e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	8.54503732439e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	0.0	1.45816346742e-05	0.0	0.0	0.0	5.19636166235e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria	0.000153478825729	0.000145816346742	0.0	0.000160730202179	0.000158594373264	0.000648439598929
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.000540079543512	3.52389504625e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	0.00309280574227	0.00581078141765	0.00514860977948	0.00402312566667	0.00585357414047	0.0033256714639
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	5.72434539207e-05	0.0	7.67018216683e-05	0.0	0.0	4.42243545732e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	0.00523487238028	0.00466126255084	0.0077564717162	0.00671657420621	0.00734820596123	0.00273804035251
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	0.00327366187204	0.0162208534388	0.000345158197507	0.000526026116223	0.00183585001778	0.000891673549082
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae	0.00567871655199	0.0299482473483	0.00761265580058	0.00470988198507	0.0119330251156	0.00173801713473
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae	2.23996124037e-05	0.0	0.0	3.8964897498e-05	2.88353405934e-05	0.000598687200034
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.0599961174005	0.0190120213427	0.0015723873442	0.00231354078894	0.0489672142177	0.025123855833
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.0	0.0	0.0	6.81885706214e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.00137882058574	9.4780625382e-05	0.00187919463087	0.00513362524536	0.00343621142072	0.0123562846677
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.000483665704866	0.00181662865316	0.000690316395014	0.000545508564972	0.000403694768308	0.000187400702504
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae	0.0	0.0	0.000230105465005	4.87061218725e-05	0.0	8.90015135785e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.0	0.0	0.0	0.000116894692494	0.0	0.000163077307489
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	0.00241583967851	0.0042019410586	0.000182166826462	0.000112024080307	0.000418112438605	0.000117747344051
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__	0.000344290338798	8.14141269307e-05	0.0	0.0	0.0	0.000134331477016
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	0.0	0.0	0.00344199424736	0.00222586976957	0.00233566258807	0.0149323533216
